TOPICO,csv,problema
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,expectativa+AF8-vida.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano+AF8-desigualdad.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,anios+AF8-prom+AF8-educ.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZA.VHHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MUY ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZB.HHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO ALTO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZC.MHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO MEDIO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZD.LHD' que NO esta incluido en los geocodigos y tiene la string 'DESARROLLO HUMANO BAJO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZE.AS' que NO esta incluido en los geocodigos y tiene la string 'ESTADOS ARABES' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZI.SA' que NO esta incluido en los geocodigos y tiene la string 'ASIA MERIDIONAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
DESHUM,indice+AF8-desarrollo+AF8-humano.csv,+ACI-dataset tiene el codigo 'ZZJ.SSA' que NO esta incluido en los geocodigos y tiene la string 'AFRICA SUBSAHARIANA' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
AGROPE,produccion+AF8-acuicultura+AF8-global+AF8-2021.csv,+ACI-dataset tiene el codigo 'EAZ' que NO esta incluido en los geocodigos y tiene la string 'REPUBLICA UNIDA DE TANZANIA, ZANZIBAR' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ACECON,A4+AF8-efecto+AF8-bs.csv,+ACI-dataset tiene el codigo 'ZAR' que NO esta incluido en los geocodigos y tiene la string 'RD CONGO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ACECON,2+AF8-pibpc+AF8-salud+AF8-edu.csv,+ACI-dataset tiene el codigo 'ZAR' que NO esta incluido en los geocodigos y tiene la string 'RD CONGO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ACECON,A1+AF8-inb+AF8-pib.csv,+ACI-dataset tiene el codigo 'TMP' que NO esta incluido en los geocodigos y tiene la string 'TIMOR ORIENTAL' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
ACECON,A5+AF8-pibpc+AF8-propeeuu+AF8-ppa+AF8-usd.csv,+ACI-dataset tiene el codigo 'ZAR' que NO esta incluido en los geocodigos y tiene la string 'RD CONGO' que NO matchea sin ambiguedad en desc+AF8-fundar. Puede implicar modificaciones del geonomenclador (a revisi+//3//Q-n, para no pisarse con otros casos).+ACI-
