TOPICO,csv,problema
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_GFR' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_GDR' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_SRM' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_YAR' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,identidad_kaya_mundo.csv,"dataset tiene el codigo 'OWID_YPR' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,produccion_biocomb.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,intensidad_carbono_electri_mundo.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,intensidad_carbono_electri_mundo.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_hidro_twh.csv,"dataset tiene el codigo 'OWID_WRL' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
TRANEN,generacion_hidro_twh.csv,"dataset tiene el codigo 'OWID_KOS' que NO esta incluido en los geocodigos y no existe columna desc_fundar. Puede implicar modificaciones del geonomenclador (a revisión, para no pisarse con otros casos)."
